127.0.0.1 - - [30/Nov/2023:13:45:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:25 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:25 +0900] "POST /MySNS/jsp/userGet.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:28 +0900] "POST /MySNS/jsp/logout.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:36 +0900] "POST /MySNS/jsp/login.jsp?id=noah@abc.com&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:36 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:36 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:36 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:37 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:37 +0900] "POST /MySNS/jsp/userGet.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:38 +0900] "GET /MySNS/withdraw.html HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:47:38 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:50:09 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:54:31 +0900] "GET /MySNS/withdraw.html HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [30/Nov/2023:13:54:31 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:06:49 +0900] "GET /MySNS/withdraw.html HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:06:49 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:29 +0900] "POST /MySNS/jsp/login.jsp?id=noah@abc.com&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:29 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:29 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:29 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:31 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:31 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:33 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:35 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:36 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:36 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:40 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:40 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:42 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:43 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:43 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:43 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:43 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:44 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:44 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:47 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:53 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:53 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:54 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:54 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:56 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:07:56 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:04 +0900] "GET /MySNS/main.html HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:04 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:04 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:05 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:06 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:06 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:07 +0900] "GET /MySNS/main.html HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:07 +0900] "GET /MySNS/css/core.css HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:07 +0900] "GET /MySNS/js/core.js HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:07 +0900] "GET /MySNS/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:07 +0900] "GET /MySNS/css/main.css HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:07 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:07 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:11 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:11 +0900] "POST /MySNS/jsp/userGet.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:13 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:13 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:13 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:09:15 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:32 +0900] "GET /MySNS/main.html HTTP/1.1" 200 3579
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:32 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:32 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:32 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:34 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:35 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:35 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:35 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:36 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:36 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:36 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:36 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:39 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:39 +0900] "POST /MySNS/jsp/userGet.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:40 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:40 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:40 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:40 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:41 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:41 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:42 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:42 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:42 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:42 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:43 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:43 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:44 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:46 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:46 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:48 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:48 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:48 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:50 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:50 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:50 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:10:50 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:38 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:38 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:38 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:38 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:40 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:41 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:41 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:52 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:52 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:52 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:53 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:54 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:54 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:55 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:56 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:56 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:56 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:56 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:57 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:11:58 +0900] "POST /MySNS/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:00 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:00 +0900] "POST /MySNS/jsp/feedView.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:02 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:02 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:03 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:03 +0900] "POST /MySNS/jsp/friendList.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:04 +0900] "GET /MySNS/friendAdd.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:04 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:04 +0900] "POST /MySNS/jsp/userList.jsp HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:07 +0900] "GET /MySNS/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:14:12:07 +0900] "POST /MySNS/jsp/session.jsp HTTP/1.1" 200 16
